created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Sat Jan 28 03:36:12 +0000 2023,1619177493717745664,"TEUME! TAU GAK setelah berabad2 japan tour treasure tampil tanpa back dancer, di osaka nanti mereka bakal tampil bareng bersama dancers teamnya, trs teulight bakal nyambung ama konser, dan pastinya live band. BAYANGIN BAKAL SEKEREN APA NANTI 😭😭😭 https://t.co/GoKgHYRq6d",109,66,194,1690,in,1271439514460753920,1619177493717745664,treasuremenfess,https://twitter.com/treasuremenfess/status/1619177493717745664,
Fri Jan 27 06:02:09 +0000 2023,1618851838488616961,Penjelasan tentang karakter dan power TREASURE di game Pucca Puzzle Adventure. Note  semua member TREASURE adalah karakter Legendary dengan mahkota kuning.  A thread ,4,3,206,890,in,1436365252539523073,1618851838488616961,yoxinebula,https://twitter.com/yoxinebula/status/1618851838488616961,
Fri Jan 27 06:00:32 +0000 2023,1618851428503617539,TOP 100 – K-POP LEADERS  #1 RM (#BTS) #2 Leeteuk (#SuperJunior) #3 Bang Chan (#StrayKids) #4 S.Coups (#SEVENTEEN) #5 Gunmin (#BIG) #6 Hyunsuk (#TREASURE) #7 Soobin (#TXT) #8 Jihoon (#TREASURE) #9 Hyebin (#MOMOLAND) #10 JinJin (#ASTRO)  👉 VOTE: https://t.co/iFFhXFivDw,116,350,532,1209,in,1476599262490284039,1618851428503617539,TOP100KPOP,https://twitter.com/TOP100KPOP/status/1618851428503617539,
Fri Jan 27 05:01:40 +0000 2023,1618836614373076993,Rame banget bg jangan lupa stan Treasure. https://t.co/qUeWZN5ewL,12,2,92,878,in,759426190050365440,1618550838859034625,ninggbao,https://twitter.com/ninggbao/status/1618836614373076993,
Thu Jan 26 16:15:08 +0000 2023,1618643712002916352,teume! bias kalian di treasure dulu sama sekarang beda gak? https://t.co/YVaHtfJ2sl,272,827,186,3366,in,1271439514460753920,1618643712002916352,treasuremenfess,https://twitter.com/treasuremenfess/status/1618643712002916352,
Thu Jan 26 08:31:51 +0000 2023,1618527124113215489,Sampe lupa….  Iniiiii di Saitama guys… liat ga klo disini fans masing2 bawa kertas??? Ya Emang ga ada hand banner… Trus jadi ga meriah? Ya engga.. Karena apa? Itu tulisan di kertas smua nya buat Treasure dan macem2 kata2nya… https://t.co/pukhf29yAg,39,13,181,831,in,114125260,1618527124113215489,Rena_NR,https://twitter.com/Rena_NR/status/1618527124113215489,
Wed Jan 25 15:49:17 +0000 2023,1618274819526787075,"@tanyakanrl Gatau dehh, gua taunya cuma ini aja. Treasure J alias treasure jamet 🙏 https://t.co/dNBQpfkDEg",204,77,361,3581,in,1596275656173977600,1618136591310151681,ibigvvin,https://twitter.com/ibigvvin/status/1618274819526787075,tanyakanrl
Wed Jan 25 10:19:58 +0000 2023,1618191943472926721,"-idol guys yoshi ini yang paling ‘normal’ kah di treasure? Soalnya sering liat kalo member lain lagi chaos, dia paling kalem sendiriii https://t.co/I8xdYuIDvp",198,331,334,5907,in,1210342758029807616,1618191943472926721,starfess,https://twitter.com/starfess/status/1618191943472926721,
Wed Jan 25 10:06:19 +0000 2023,1618188508237299714,[yg_treasure_tiktok] 230125  Junkyu is a masterpiece 🌋  🖇️ https://t.co/CUNRTbgiP8  #TREASURE #트레저 #トレジャー  @treasuremembers https://t.co/LpnZOnD9XR,58,0,395,1689,in,1469253385312370690,1618188508237299714,trsrupdates,https://twitter.com/trsrupdates/status/1618188508237299714,treasuremembers
Tue Jan 24 09:00:25 +0000 2023,1617809534441099270,treasure outfit ideas🧤🎧🎨 “bisa dipakai buat konser nantii”  -ˋˏ ༻ a thread ༺ ˎˊ- https://t.co/8IpHhLIi2o,15,2,219,1119,in,1458102258294525961,1617809534441099270,sweetcandyss_,https://twitter.com/sweetcandyss_/status/1617809534441099270,
